,0,1
1626,2600,550
1627,1200,404
1628,1200,1110
1629,2700,299
1630,700,401
1631,2300,645
1632,4800,1042
1633,500,809
1634,1700,876
1635,900,341
1636,2500,1086
1637,1600,1073
1638,2700,213
1639,2000,742
1640,2500,553
1641,1500,1078
1642,3000,772
1643,700,691
1644,600,949
1645,800,292
1646,1600,748
1647,1700,403
1648,500,745
1649,1700,808
1650,1500,131
1651,1000,680
1652,1000,948
1653,2200,1042
1654,3000,718
1655,3000,1073
1656,2000,890
1657,1400,296
1658,1500,400
1659,1400,215
1660,3500,772
1661,2600,553
1662,1100,504
1663,1700,889
1664,1500,449
1665,1100,553
1666,2600,890
1667,1000,1042
1668,1800,1110
1669,2700,747
1670,1900,553
1671,500,915
1672,900,948
1673,1800,948
1674,100,1041
1675,1200,741
1676,800,550
1677,3200,580
1678,1200,83
1679,2200,582
1680,3500,1040
1681,1000,402
1682,1200,24
1683,800,292
1684,2000,518
1685,1100,404
1686,800,948
1687,1400,1086
1688,2700,744
1689,700,504
1690,2600,550
1691,2000,520
1692,1800,742
1693,500,808
1694,1400,742
1695,1000,948
1696,1400,335
1697,1400,519
1698,1300,401
1699,3000,949
1700,800,337
1701,2500,581
1702,1400,212
1703,2000,1076
1704,2500,575
1705,2500,875
1706,300,370
1707,2600,1080
1708,1200,948
1709,1200,977
1710,1000,160
1711,200,504
1712,1300,400
1713,1300,367
1714,600,914
1715,1000,890
1716,2100,740
1717,800,160
1718,900,191
1719,1300,341
1720,1000,403
1721,3700,949
1722,2000,165
1723,1500,808
1724,1200,719
1725,900,767
1726,4700,1046
1727,600,476
1728,2000,401
1729,2200,654
1730,700,914
1731,2200,582
1732,700,767
1733,500,1110
1734,2200,654
1735,500,404
1736,1000,948
1737,300,745
1738,700,1077
1739,500,551
1740,2300,368
1741,2500,440
1742,1300,652
1743,1000,369
1744,1500,1086
1745,2600,702
1746,800,774
1747,1600,889
1748,3300,1047
1749,3200,982
1750,1000,9
1751,1800,1109
1752,1600,948
1753,1300,698
1754,1100,1037
1755,1300,702
1756,2200,948
1757,1200,130
1758,2000,983
1759,1000,471
1760,1700,678
1761,2200,701
1762,1900,475
1763,2200,1053
1764,1000,1039
1765,2600,949
1766,1700,298
1767,1000,1037
1768,1000,1102
1769,3000,984
1770,2300,700
1771,1500,921
1772,900,123
1773,1000,519
1774,3100,203
1775,1200,742
1776,3000,215
1777,1400,215
1778,2200,773
1779,1200,505
1780,900,691
1781,2100,75
1782,1400,64
1783,2500,299
1784,5800,1108
1785,2200,576
1786,3500,985
1787,1100,651
1788,1300,1079
1789,2500,744
1790,2100,984
1791,800,518
1792,3500,772
1793,2700,1107
1794,500,653
1795,400,767
1796,1500,697
1797,1300,1109
1798,1800,370
1799,1100,949
1800,1300,473
1801,1500,401
1802,2000,520
1803,1300,915
1804,2500,652
1805,1000,110
1806,3700,767
1807,2200,888
1808,1500,977
1809,3500,982
1810,1800,550
1811,1200,29
1812,1200,371
1813,2000,1053
1814,1200,949
1815,800,578
1816,1400,767
1817,700,654
1818,1400,205
1819,1300,748
1820,2300,213
1821,2500,984
1822,1200,442
1823,1200,368
1824,3900,507
1825,1200,867
1826,1500,216
1827,2000,188
1828,1000,552
1829,1500,1107
1830,2000,1084
1831,1600,400
1832,1300,742
1833,500,741
1834,1700,1037
1835,2600,920
1836,2000,1049
1837,2000,1102
1838,3500,307
1839,1500,580
1840,1300,890
1841,1500,1103
1842,900,581
1843,1700,214
1844,4100,583
1845,800,862
1846,500,1109
1847,2400,550
1848,2700,336
1849,1200,369
1850,900,290
1851,1000,741
1852,1000,809
1853,1000,374
1854,1100,504
1855,500,653
